name,email,phone,status,probability,dealValue,currency,scoreIA
Jean Petit,jean.petit49@leads.com,0795131679,LOST,16,1358,USD,59
Sophie David,sophie.david50@leads.com,0762498385,NEW,79,9861,USD,35
Jean Simon,jean.simon51@leads.com,0759200127,LOST,21,13049,USD,86
Jean Leroy,jean.leroy52@leads.com,0757954365,LOST,69,37108,USD,94
Luc Martin,luc.martin53@leads.com,0739934560,NEW,68,9564,USD,35
Luc Simon,luc.simon54@leads.com,0748781135,CONTACTED,32,23071,USD,16
Nicolas Lefebvre,nicolas.lefebvre55@leads.com,0773500813,NEW,14,30650,USD,38
Paul Martin,paul.martin56@leads.com,0748190696,QUALIFIED,22,35979,USD,52
Celine Garcia,celine.garcia57@leads.com,0714781155,QUALIFIED,29,14633,USD,82
Nicolas Moreau,nicolas.moreau58@leads.com,0745291377,CONTACTED,76,10331,USD,44
Sophie Lefebvre,sophie.lefebvre59@leads.com,0756983143,QUALIFIED,29,21329,USD,84
Jean Lefebvre,jean.lefebvre60@leads.com,0797438761,QUALIFIED,46,45539,USD,29
Emma Petit,emma.petit61@leads.com,0724862194,QUALIFIED,44,40042,USD,44
Antoine Laurent,antoine.laurent62@leads.com,0756607669,QUALIFIED,64,35181,USD,95
Sophie Leroy,sophie.leroy63@leads.com,0719294628,CONTACTED,35,11494,USD,87
Celine Martin,celine.martin64@leads.com,0744704767,QUALIFIED,52,13791,USD,56
Marie Lefebvre,marie.lefebvre65@leads.com,0777204324,CONTACTED,40,38120,USD,26
Antoine Garcia,antoine.garcia66@leads.com,0732325864,QUALIFIED,83,12640,USD,25
Sophie Petit,sophie.petit67@leads.com,0775574878,NEW,28,39004,USD,43
Thomas Simon,thomas.simon68@leads.com,0712236381,QUALIFIED,54,10603,USD,21
Luc David,luc.david69@leads.com,0763829020,LOST,50,25079,USD,22
Antoine Bernard,antoine.bernard70@leads.com,0728186993,QUALIFIED,18,25578,USD,24
Thomas Lefebvre,thomas.lefebvre71@leads.com,0717093133,NEW,42,47188,USD,57
Thomas Michel,thomas.michel72@leads.com,0724311339,CONTACTED,21,12101,USD,86
Julie David,julie.david73@leads.com,0747159699,CONTACTED,17,19189,USD,73
Julie Bernard,julie.bernard74@leads.com,0797902487,QUALIFIED,44,36142,USD,92
Nicolas Lefebvre,nicolas.lefebvre75@leads.com,0781724110,CONTACTED,42,2790,USD,59
Emma Bernard,emma.bernard76@leads.com,0798567831,LOST,50,3956,USD,65
Emma Michel,emma.michel77@leads.com,0757173821,QUALIFIED,36,17007,USD,52
Marie Michel,marie.michel78@leads.com,0742149177,LOST,58,34373,USD,44
Thomas Petit,thomas.petit79@leads.com,0722968642,NEW,28,33313,USD,21
Julie Lefebvre,julie.lefebvre80@leads.com,0718406641,LOST,28,35714,USD,27
Marie Garcia,marie.garcia81@leads.com,0770035952,CONTACTED,15,35022,USD,62
Antoine Moreau,antoine.moreau82@leads.com,0751545419,CONTACTED,35,39726,USD,17
Thomas Simon,thomas.simon83@leads.com,0738694535,QUALIFIED,31,15454,USD,46
Paul Lefebvre,paul.lefebvre84@leads.com,0742497434,QUALIFIED,47,22076,USD,51
Thomas Laurent,thomas.laurent85@leads.com,0759781632,NEW,58,41573,USD,55
Sophie Laurent,sophie.laurent86@leads.com,0746867077,CONTACTED,85,22699,USD,23
Antoine Lefebvre,antoine.lefebvre87@leads.com,0714555947,NEW,42,38035,USD,53
Paul Petit,paul.petit88@leads.com,0730684873,QUALIFIED,87,30671,USD,89
Julie Michel,julie.michel89@leads.com,0752408008,NEW,56,36113,USD,16
Thomas Michel,thomas.michel90@leads.com,0724365327,NEW,83,49159,USD,40
Nicolas Laurent,nicolas.laurent91@leads.com,0721954148,LOST,80,40454,USD,31
Jean Leroy,jean.leroy92@leads.com,0780130781,QUALIFIED,58,2893,USD,41
Emma Petit,emma.petit93@leads.com,0757899631,QUALIFIED,25,7151,USD,18
Nicolas Dupont,nicolas.dupont94@leads.com,0714907561,CONTACTED,11,20893,USD,46
Antoine Garcia,antoine.garcia95@leads.com,0730029227,LOST,43,47586,USD,79
Emma Bernard,emma.bernard96@leads.com,0724523095,NEW,61,31477,USD,63
Antoine Simon,antoine.simon97@leads.com,0765284690,QUALIFIED,20,28638,USD,22
Antoine Bernard,antoine.bernard98@leads.com,0774221281,LOST,87,35444,USD,36
Julie Michel,julie.michel99@leads.com,0790562898,CONTACTED,24,25164,USD,74
Nicolas Leroy,nicolas.leroy100@leads.com,0771231657,NEW,52,4584,USD,77
Julie David,julie.david101@leads.com,0745934165,NEW,84,34310,USD,68
Thomas Laurent,thomas.laurent102@leads.com,0760690579,LOST,23,27448,USD,42
Antoine Lefebvre,antoine.lefebvre103@leads.com,0714115110,LOST,80,30675,USD,20
Sophie Martin,sophie.martin104@leads.com,0764252202,NEW,65,2399,USD,36
Antoine Martin,antoine.martin105@leads.com,0746383521,CONTACTED,28,36963,USD,46
Luc Martin,luc.martin106@leads.com,0787960785,NEW,34,41910,USD,85
Thomas Dupont,thomas.dupont107@leads.com,0758682220,NEW,59,47187,USD,27
Thomas Bernard,thomas.bernard108@leads.com,0728273797,QUALIFIED,14,22077,USD,72
Julie Leroy,julie.leroy109@leads.com,0712230430,NEW,40,10469,USD,65
Jean Petit,jean.petit110@leads.com,0732477184,LOST,42,43763,USD,92
Thomas Moreau,thomas.moreau111@leads.com,0753486379,QUALIFIED,12,32963,USD,83
Thomas Lefebvre,thomas.lefebvre112@leads.com,0787363620,CONTACTED,90,47163,USD,11
Marie Lefebvre,marie.lefebvre113@leads.com,0732126697,LOST,35,39125,USD,36
Paul Laurent,paul.laurent114@leads.com,0715840339,QUALIFIED,22,16113,USD,75
Antoine Bernard,antoine.bernard115@leads.com,0722657446,LOST,58,33387,USD,95
Nicolas Martin,nicolas.martin116@leads.com,0733157210,LOST,88,8049,USD,29
Claire Leroy,claire.leroy117@leads.com,0749077669,NEW,35,35294,USD,34
Celine Moreau,celine.moreau118@leads.com,0724809802,LOST,59,26069,USD,77
Jean Laurent,jean.laurent119@leads.com,0725433512,CONTACTED,35,2692,USD,79
Thomas Garcia,thomas.garcia120@leads.com,0769645979,LOST,67,46597,USD,42
